Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2007,37.472,28.274,42.224,50.342,65.228,71.366,74.984,74.03,70.268,63.608,45.41,36.95
2008,36.5,35.78,42.638,54.95,60.08,74.012,78.422,73.814,68.828,55.148,45.842,38.102
2009,27.932,36.734,42.422,54.518,62.492,67.478,72.644,75.686,66.308,54.968,51.134,35.906
2010,32.522,33.116,48.2,57.866,65.282,74.66,81.338,77.414,71.06,58.136,47.894,32.774
2011,29.696,36.032,42.314,54.284,64.49,72.32,80.258,75.272,70.034,57.092,51.89,43.304
2012,37.328,40.874,50.936,54.77,65.12,70.988,78.764,76.712,68.81,58.064,43.88,41.468
2013,35.096,33.926,40.136,53.006,62.78,72.662,79.826,74.606,67.874,60.188,45.302,38.624
2014,28.724,31.73,37.724,52.34,64.004,72.464,76.154,74.516,69.746,59.648,45.32,40.55
2015,29.966,24.08,38.138,54.266,68.504,71.186,78.8,78.962,74.444,58.064,52.79,50.792
2016,34.52,37.778,48.884,53.348,62.798,72.248,78.692,79.196,71.798,58.766,49.766,38.372
2017,38.066,41.666,39.236,57.146,61.088,71.978,,,,,,
